voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Ernie Johnson,WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Jason Jones,The Athletic,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Madeline Kenney,Bay Area News Group,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Marc Kestecher,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL),2023,MVP
Andy Larsen,Salt Lake Tribune,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Kristen Ledlow,WarnerMedia,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Adam Lefkoe,WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Brian Lewis,New York Post,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Zach Lowe,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Brian Mahoney,Associated Press,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Rob Mahoney,The Ringer,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Chris Mannix,Sports Illustrated,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Jeff McDonald,San Antonio Express-News,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Dave McMenamin,ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Chao Meng,Tencent,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Yoko Miyaji,Sports Graphic Number,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Yoav Modai,Sport 5,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Joe Mussatto,The Oklahoman,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Rachel Nichols,Showtime,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Curry Stephen (GSW),2023,MVP
Kevin O'Connor,The Ringer,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Fox De'Aaron (SAC),2023,MVP
James Owczarski,Milwaukee Journal Sentinel,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Dave Pasch,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Kevin Pelton,ESPN,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Kendrick Perkins,ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Michael Pina,The Ringer,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Keith Pompey,Philadelphia Inquirer,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Shaun Powell,NBA.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL),2023,MVP
Khobi Price,Orlando Sentinel,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Duane Rankin,Arizona Republic,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Stephanie Ready,WarnerMedia,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Morant Ja (MEM),2023,MVP
JJ Redick,ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Bill Reiter,CBSSports.com,Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Embiid Joel (PHI),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Remi Reverchon,beIN Sports,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Tim Reynolds,Associated Press,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Butler Jimmy (MIA),2023,MVP
Josh Robbins,The Athletic,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Melissa Rohlin,Fox Sports,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Taylor Rooks,Bleacher Report,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Jalen Rose,ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Ryen Russillo,The Ringer,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Omari Sankofa,Detroit Free Press,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
John Schuhmann,NBA.com,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Dennis Scott,WarnerMedia,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Curry Stephen (GSW),2023,MVP
Ramona Shelburne,ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Bill Simmons,The Ringer,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Mike Singer,Denver Post,Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Anthony Slater,The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Doug Smith,The Toronto Star,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Sabonis Domantas (SAC),Tatum Jayson (BOS),2023,MVP
Stephen A. Smith,ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Steve Smith,WarnerMedia,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Doncic Luka (DAL),2023,MVP
Seerat Sohi,The Ringer,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Justin Termine,Sirius Radio,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Sabonis Domantas (SAC),2023,MVP
Stan Van Gundy,WarnerMedia,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Sabonis Domantas (SAC),2023,MVP
Joe Vardon,The Athletic,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
David Villafranca,EFE News,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Doncic Luka (DAL),Tatum Jayson (BOS),2023,MVP
Gary Washburn,Boston Globe,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Mitchell Donovan (CLE),Tatum Jayson (BOS),2023,MVP
Michael Wilbon,ESPN,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jokic Nikola (DEN),Tatum Jayson (BOS),Fox De'Aaron (SAC),2023,MVP
Brian Windhorst,ESPN,Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Jokic Nikola (DEN),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Matt Winer,WarnerMedia,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Michael C. Wright,NBA.com,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Mitchell Donovan (CLE),2023,MVP
Ohm Youngmisuk,ESPN,Embiid Joel (PHI),Jokic Nikola (DEN),Antetokounmpo Giannis (MIL),Tatum Jayson (BOS),Gilgeous-Alexander Shai (OKC),2023,MVP
Jeff Zillgitt,USA Today,Jokic Nikola (DEN),Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Gilgeous-Alexander Shai (OKC),Tatum Jayson (BOS),2023,MVP
Adam Himmelsbach,Boston Globe,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Anthony Chiang,Miami Herald,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Anthony Slater,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Curry, Stephen (GSW)",2022,MVP
Antoine Bancharel,L'Equipe / Canal+,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Morant, Ja (MEM)",2022,MVP
Antoni Daimiel,Movistar+,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Bill Oram,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)",2022,MVP
Bill Reiter,CBSSports.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Bill Simmons,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Brian Mahoney,Associated Press,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Brian Windhorst,ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Callie Caplan,Dallas Morning News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Cassidy Hubbarth,ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Chris Fedor,Clevleand.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Chris Herring,Sports Illustrated,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Chris Kirschner,The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Chris Mannix,Sports Illustrated,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Christos Tsaltas,SDNA.gr,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Embiid, Joel (PHI)","Morant, Ja (MEM)",2022,MVP
Daisuke Sugiura,Nihon Keizai Shimbun,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Dave McMenamin,ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Dave Pasch,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
David Aldridge,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Davide Chinellato,La Gazzetta dello Sport,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Morant, Ja (MEM)",2022,MVP
Dennis Scott,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)",2022,MVP
Diego Martinez,Reforma,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Paul, Chris (PHX)",2022,MVP
Doris Burke,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Doug Smith,The Toronto Star,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Drew Hill,Daily Memphian,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Duane Rankin,Arizona Republic,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Jokic, Nikola (DEN)","Morant, Ja (MEM)",2022,MVP
Eric Koreen,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Eric Nehm,The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Booker, Devin (PHX)",2022,MVP
Eric Walden,Salt Lake Tribune,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Ernie Johnson,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Morant, Ja (MEM)",2022,MVP
Frank Isola,Sirius Radio,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)",2022,MVP
Gary Washburn,Boston Globe,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)",2022,MVP
Greg Anthony,Turner,"Embiid, Joel (PHI)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)",2022,MVP
Guillermo Schutz,Televisa (TUDN),"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2022,MVP
Harris Stavrou,Sport24,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Howard Beck,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2022,MVP
Jalen Rose,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
James Edwards III,The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)",2022,MVP
Jared Greenberg,Turner,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Jason Anderson,Sacramento Bee,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Jason Quick,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Morant, Ja (MEM)",2022,MVP
Jeff McDonald,San Antonio Express-News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Jeff Zillgitt,USA Today,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Booker, Devin (PHX)",2022,MVP
Joe Mussatto,The Oklahoman,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)",2022,MVP
Joe Vardon,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
John Schuhmann,NBA.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Booker, Devin (PHX)",2022,MVP
Josh Robbins,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Justin Termine,Sirius Radio,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
K.C. Johnson,NBC Sports Chicago,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Keith Pompey,Philadelphia Inquirer,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","DeRozan, DeMar (CHI)",2022,MVP
Kelly Iko,The Athletic,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Morant, Ja (MEM)",2022,MVP
Kendrick Perkins,ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)",2022,MVP
Kevin Arnovitz,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Kevin Harlan,Turner,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Kevin O'Connor,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Kevin Pelton,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Curry, Stephen (GSW)",2022,MVP
Khobi Price,Orlando Sentinel,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Kristian Winfield,New York Daily News,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Durant, Kevin (BKN)",2022,MVP
Kurt Helin,NBCSports.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Lisa Hsu,Tencent,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Marc Kestecher,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2022,MVP
Mark Jackson,ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Mark Medina,NBA.com,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Morant, Ja (MEM)","Booker, Devin (PHX)",2022,MVP
Matt Winer,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Melissa Rohlin,Fox Sports,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Michael C. Wright,NBA.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Michael Grange,Rogers Sportsnet,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Tatum, Jayson (BOS)",2022,MVP
Michael Pina,Sports Illustrated,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Tatum, Jayson (BOS)","Curry, Stephen (GSW)",2022,MVP
Michael Wilbon,ESPN,"Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)",2022,MVP
Mike Greenberg,ESPN,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Mike Singer,Denver Post,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Ohm Youngmisuk,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Ramona Shelburne,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)",2022,MVP
Remi Reverchon,BeIN Sport (France),"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2022,MVP
Renjun Bao,Tencent,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
Ric Bucher,FS1,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Paul, Chris (PHX)",2022,MVP
Rob Mahoney,The Ringer,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2022,MVP
Rod Boone,Charlotte Observer,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)",2022,MVP
Ryen Russillo,The Ringer,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)",2022,MVP
